placename,streetaddress,City,inspectdate,latitude,longitude
The Park at Murano Pool Ph I,4757 Barkley Circle,Fort Myers,11/27/18,26.59243249,-81.88116419
The Park at Murano Pool,1581 Matthew Drive,Fort Myers,11/27/18,26.58989442,-81.88111343
Clubhouse Condo of Cape Coral Pool,3817 Country Club Boulevard,Cape Coral,7/30/18,26.5810055,-81.9540572
Cypress Woods RV Resort Spa,5551 Luckett Road,Fort Myers,11/27/18,26.65647526,-81.79292022
Cypress Woods RV Resort Pool,5551 Luckett Road,Fort Myers,11/27/18,26.65647526,-81.79292022
Holiday Condo Outdoor Pool,16410 San Carlos Boulevard,Fort Myers,5/30/18,26.5017365,-81.9456356
Residence Inn Fort Myers- Sanibel Pool,20371 Summerlin Road,Fort Myers,5/31/18,26.4922543,-81.974807
Residence Inn Fort Myers- Sanibel Pool,20371 Summerlin Road,Fort Myers,5/30/18,26.4922543,-81.974807
Millennium Apartments,9505  Blackwood Circle,Fort Myers,5/30/18,26.47224291,-81.81220135
Fairway Woods at the Forest Spa II,16220 Fairway Woods Drive,Fort Myers,5/31/18,26.5055169,-81.8669986
Residence Inn Fort Myers- Sanibel  Spa,20371 Summerlin Road,Fort Myers,5/30/18,26.4922543,-81.974807
Bayview II At Bonita Bay Pool,4801 Island Pond Court,Bonita Springs,5/31/18,26.3495202,-81.8331061
Cracker Cove of Bonita Bay Spa,3769 Cracker Way,Bonita Springs,5/31/18,26.3451838,-81.8185098
Bayview II at Bonita Bay Spa,4801 Island Pond Court,Bonita Springs,5/31/18,26.3495202,-81.8331061
The Springs Resort Pool(Days Inn),18051 S Tamiami Trail,Fort Myers,6/6/18,26.4760761,-81.8363949
Arlington Park Pool,10123 Sandy Hollow  Lane,Bonita Springs,5/30/18,26.3588887,-81.7863455
Bonita Lakes Swimming Pool,23235 Salinas  Way,Bonita Springs,5/30/18,26.35549472,-81.75195016
Coves of Estero Bay Swimming Pool,6409 Estero Bay Drive,Fort Myers,6/7/18,26.49270755,-81.92552833
Bonita Lakes Interactive Water Feature,23235 Salinas Way,Bonita Springs,5/30/18,26.35549472,-81.75195016
Harborage Pool,5000 Harborage Drive,Ft Myers,6/6/18,26.4818451,-81.8471717
Bonita Lakes Spa,23235 Salinas Way,Bonita Springs,5/30/18,26.35549472,-81.75195016
Bent Palms Townhomes Pool,16535 Bent Palms Cove,Fort Myers,6/7/18,26.49270755,-81.92552833
Bay Harbor Club Spa 1 (North),26225 Hickory Boulevard,Bonita Springs,6/12/18,26.3574267,-81.8560372
San Mirage Condo Spa,8890 Colonnades Court W,Bonita Springs,6/8/18,26.3699589,-81.8044964
San Mirage Condo Spa,8890 Colonnades Court W,Bonita Springs,6/12/18,26.3699589,-81.8044964
Mango Creek Condo Pool,27684 Imperial River Road,Bonita Springs,6/18/18,26.3316912,-81.8205131
Wyndham Garden Fort Myers Beach Pool,6890 Estero Boulevard,Fort Myers Beach,6/18/18,26.4164661,-81.902041
Mandolin Bay Villas Condo Pool,15990 Mandolin Bay Drive,Fort Myers,6/20/18,26.5101833,-81.9522632
Caloosa Lakes The Grove Clubhouse Pool,10701 Marble Brook Boulevard,Lehigh Acres,6/26/18,26.5906364,-81.6356282
The Reef Phase II Pool,19655  Three Oaks Parkway,Fort Myers,6/28/18,26.47224291,-81.81220135
Porta Vecchio Spa @ Mediterra,17065 Porta Vecchio Way,Bonita Springs,6/27/18,26.31787404,-81.78385549
San Simeon Spa,3801 Cherrybrook Loop,Fort Myers,7/10/18,26.6062809,-81.8178078
San Simeon Pool,3801 Cherrybrook Loop,Fort Myers,7/10/18,26.6062809,-81.8178078
Islands At Three Oaks Spa,18225 Horseshoe Bay Circle,Fort Myers,7/10/18,26.4762012,-81.7958775
Hidden Harbor Lodge Pool,17320 Hidden Estates Circle,Fort Myers,7/10/18,26.4882784,-81.8538269
The Park At Lakewood Pool,14851 Park Lake Drive,Fort Myers,7/11/18,26.5267177,-81.8908262
Botanica Lakes Clubhouse Spa,10300 Botanica Lakes Boulevard,Fort Myers,7/16/18,26.580492,-81.7870756
Botanica Lakes Clubhouse Pool,10300 Botanica Lakes Boulevard,Fort Myers,7/16/18,26.580492,-81.7870756
Gladiolus Preserve Pool,9659 Gladiolus Preserve Circle,Fort Myers,7/19/18,26.5184102,-81.9154372
Argyle Homeowners Association Pool,1560 Argyle Drive,Fort Myers,7/12/18,26.5863008,-81.8881921
Reserve At Estero Spa,9350 La Bianco Street,Fort Myers,7/17/18,26.45402394,-81.80119119
Villas of Fountain Lakes Spa,22161 Sundancer Court,Estero,7/17/18,26.4147069,-81.8164971
